TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD38: FITC-A-Compensated,CD20: PE-A-Compensated,CD10: PE-TR-A-Compensated,CD19: APC-A-Compensated,CD34: AF 700-A-Compensated,CD45: APC-Cy7-A-Compensated,Index
2.395577,208494.7,164651.2,228,82109.53,64429.12,228,100.8192,754.9427,7059.327,1846.664,2950.797,3041.588,A5
3.989794,287659.8,242569.6,237,77346.55,52564.96,237,86.67179,328.1351,168.9244,29.39685,21.12709,418.8756,B5
10.38394,200932.1,158391.5,225,86019.68,62288.8,225,90.09566,16.6277,119.5486,28.89512,-16.9499,364.4357,C5
26.68443,163772.8,136540.3,211,73759.99,62919.36,211,323.7809,1098.456,2637.563,2257.982,4657.765,2917.344,D5
30.49912,169828.3,146199.2,211,63440.84,52841.6,211,56.68687,1619.581,1150.553,433.3543,1069.833,2233.43,E5
34.8073,163727.1,131885.6,212,67966.33,60047.68,212,157.1273,2234.231,1761.546,1877.596,4051.195,3261.792,F5
47.82113,221549.1,189554.4,224,62585.23,51723.84,224,49.78421,576.6233,1566.194,437.403,1310.433,1358.962,G5
58.09106,176313.4,147689.9,215,94899.13,78705.76,215,115.7832,812.5808,7150.905,5062.417,2894.49,2784.199,H5
64.01726,219964.7,185922.2,226,55355.8,44272.48,226,141.3017,2002.833,2637.833,1269.594,4032.17,3395.568,H6
74.60947,211243.4,172877.6,226,91120.52,75735.52,226,426.0229,1255.57,3138.514,2515.289,4471.081,3871.878,G6
148.6298,182151.7,152876.6,217,60202.39,52342.08,217,171.4517,926.3637,2637.333,770.3747,4524.085,3069.997,F6
165.8533,179666.6,152077,216,49341.86,38943.52,216,123.343,1125.632,1766.635,1435.755,2977.58,2661.226,E6
190.2113,168624.8,127977.9,219,73203.29,58817.92,219,193.1383,1726.007,4326.18,3236.929,5039.322,3567.645,D6
203.2677,190784,165073.4,218,53168.89,44440.48,218,213.7643,2255.808,2357.049,1103.196,3784.943,1450.599,C6
212.6372,176053.7,148814.4,212,83597.45,72003.68,212,207.0673,444.5988,4448.781,2774.903,3282.253,3087.072,B6
224.189,182021.2,160309,213,68122.95,57392.16,213,104.3805,863.5374,2132.308,972.079,2389.186,2654.817,A6
234.5782,189222.5,165808.2,215,43357.25,36880.48,215,112.3127,2562.928,1306.892,1284.396,2925.622,1203.047,A7
250.1278,210584,178677,224,55580.84,47426.4,224,53.50461,1755.382,2546.699,1325.435,3886.284,2426.915,B7
263.3059,175379.7,140359.5,218,62318.72,49366.24,218,257.8962,437.8336,4455.629,1625.175,3044.849,3216.027,C7
271.6535,201958,176116.6,219,86125.38,73603.04,219,437.7879,1559.937,3075.965,2586.09,6130.984,3477.121,D7
308.6773,167660.9,131579.8,215,81868.77,67620,215,92.64011,1657.536,4507.448,2621.298,4827.158,4345.02,E7
327.0879,202528.9,174877.9,220,66399.48,52494.4,220,216.9438,641.9606,2486.946,1634.669,3565.177,2220.483,F7
330.2618,226176.8,192354.4,226,70828.85,57916.32,226,224.1866,521.3878,2748.965,1751.784,3183.076,3330.89,G7
334.2392,182406.6,136334.2,224,93772.43,75019.84,224,179.4162,3675.285,5631.181,1655.409,1042.969,3583.783,H7
338.4817,175035.7,149217.6,214,85073.07,69562.08,214,184.6005,468.4102,3047.425,2218.548,2763.44,4506.997,H8
348.5794,204424.4,169246.6,224,88768.68,73472,224,83.12679,621.7626,2731.936,3031.424,5101.803,4932.043,G8
352.878,187854,156436,219,60068.25,50769.6,219,294.6678,259.8336,2225.477,1656.915,4221.431,3130.342,F8
369.4833,174715.9,145763.5,214,53078.95,47296.48,214,283.5863,2348.703,3253.444,1188.413,2515.608,2739.28,E8
374.5633,173489.4,140380.8,215,69414.23,59889.76,215,146.2305,765.9011,8075.143,2096.793,5147.731,3086.668,D8
388.1241,178389.1,144219,219,83050.78,64249.92,219,54.39917,2842.245,1858.011,2347.005,4581.11,4410.429,C8
