TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD38: FITC-A-Compensated,CD20: PE-A-Compensated,CD10: PE-TR-A-Compensated,CD19: APC-A-Compensated,CD34: AF 700-A-Compensated,CD45: APC-Cy7-A-Compensated,Index
94.20070,177644.8,130721.9,223,30943.95,21920.64,223,49.68555,-19.87354,48.2453,23.13604,-5.422554,105.1205,A2
106.804,299597.3,215432,253,29317.33,17582.88,253,-4.060989,-19.24743,74.50541,14.90019,46.01833,212.0215,B2
112.5092,210743.7,157848.3,233,26605.47,17987.2,233,31.01099,-42.66716,5.455852,35.67084,-22.92152,196.1785,C2
117.4317,221997.2,174978.7,231,29016.66,17746.4,231,36.71103,80.72112,80.06136,-56.29797,20.38638,267.3433,D2
119.8792,217223.5,165435.2,232,40457.03,30191.84,232,-12.27869,-2.037027,50.67787,63.75916,-5.524678,467.075,E2
143.2458,186738.3,127228.6,232,18381.12,12951.68,232,22.53009,98.225,86.07568,112.2207,-15.96753,413.9001,F2
161.3541,219390.1,165653.6,235,73024.44,56017.92,235,419.6429,3539.746,2839.133,1463.055,4552.815,2963.663,G2
165.8294,202868.8,177291.5,219,56610.26,46681.6,219,218.9103,4386.578,2447.145,2015.407,3704.887,4498.343,H2
173.0701,226613,197027,226,67378.13,57956.64,226,91.383,1883.154,2796.931,3335.742,3826.218,3321.16,H3
182.8039,189550.9,160541.9,218,57382.77,45718.4,218,226.7888,268.2055,2679.469,1846.316,2283.139,2441.397,G3
190.0513,200288.2,170001.4,221,52016.45,43532.16,221,139.6435,2595.962,2120.03,1438.251,4327.701,3710.378,F3
209.8689,237727.2,206091.2,228,55474.93,47308.8,228,186.4449,69.17318,2381.463,1049.912,3678.206,2767.329,E3
215.8622,196037.3,167789.4,219,55641.77,45176.32,219,131.4367,4446.871,1873.018,1083.711,2535.498,3005.509,D3
222.5233,208256.8,175185.9,223,82132.3,69448.96,223,117.7525,2257.639,4960.918,2504.865,4469.694,3314.504,C3
263.3088,231131.2,199077.8,227,69709.8,57060.64,227,159.0403,3042.606,2327.979,2474.653,6186.296,2465.282,B3
326.1542,200754.5,177419.2,219,45546.67,37916.48,219,173.9485,6292.254,854.2242,1954.931,2914.374,3683.082,A3
350.7255,216594.3,188717.8,221,49210.68,39569.6,221,138.8413,2222.754,1726.466,1192.574,2345.257,1633.097,A4
373.5145,209664.3,182089.6,221,46762.11,38590.72,221,171.7569,185.8077,1377.092,1120.546,1971.454,1995.876,B4
421.4034,227196,195460.2,227,62699.92,50107.68,227,276.3408,716.4963,4214.58,1867.342,5421.726,3266.081,C4
448.7271,213576.5,189594.7,220,50598.88,40708.64,220,156.3973,404.4238,1488.068,381.4992,1906.959,1328.486,D4
458.8881,212029.1,182800.8,222,58837.02,48936.16,222,83.31036,1135.658,2051.01,1065.268,2111.936,2724.733,E4
508.693,214303.7,190095.4,221,66729.6,55909.28,221,73.66493,1530.34,2546.63,1726.137,3745.498,3558.618,F4
