CD38: FITC-A-Compensated,CD20: PE-A-Compensated,CD10: PE-TR-A-Compensated,CD19: APC-A-Compensated,CD34: AF 700-A-Compensated,CD45: APC-Cy7-A-Compensated,Index
49.68555,-19.87354,48.2453,23.13604,-5.422554,105.1205,A2
-4.060989,-19.24743,74.50541,14.90019,46.01833,212.0215,B2
31.01099,-42.66716,5.455852,35.67084,-22.92152,196.1785,C2
36.71103,80.72112,80.06136,-56.29797,20.38638,267.3433,D2
-12.27869,-2.037027,50.67787,63.75916,-5.524678,467.075,E2
22.53009,98.225,86.07568,112.2207,-15.96753,413.9001,F2
419.6429,3539.746,2839.133,1463.055,4552.815,2963.663,G2
218.9103,4386.578,2447.145,2015.407,3704.887,4498.343,H2
91.383,1883.154,2796.931,3335.742,3826.218,3321.16,H3
226.7888,268.2055,2679.469,1846.316,2283.139,2441.397,G3
139.6435,2595.962,2120.03,1438.251,4327.701,3710.378,F3
186.4449,69.17318,2381.463,1049.912,3678.206,2767.329,E3
131.4367,4446.871,1873.018,1083.711,2535.498,3005.509,D3
117.7525,2257.639,4960.918,2504.865,4469.694,3314.504,C3
159.0403,3042.606,2327.979,2474.653,6186.296,2465.282,B3
173.9485,6292.254,854.2242,1954.931,2914.374,3683.082,A3
138.8413,2222.754,1726.466,1192.574,2345.257,1633.097,A4
171.7569,185.8077,1377.092,1120.546,1971.454,1995.876,B4
276.3408,716.4963,4214.58,1867.342,5421.726,3266.081,C4
156.3973,404.4238,1488.068,381.4992,1906.959,1328.486,D4
83.31036,1135.658,2051.01,1065.268,2111.936,2724.733,E4
73.66493,1530.34,2546.63,1726.137,3745.498,3558.618,F4
100.8192,754.9427,7059.327,1846.664,2950.797,3041.588,A5
86.67179,328.1351,168.9244,29.39685,21.12709,418.8756,B5
90.09566,16.6277,119.5486,28.89512,-16.9499,364.4357,C5
323.7809,1098.456,2637.563,2257.982,4657.765,2917.344,D5
56.68687,1619.581,1150.553,433.3543,1069.833,2233.43,E5
157.1273,2234.231,1761.546,1877.596,4051.195,3261.792,F5
49.78421,576.6233,1566.194,437.403,1310.433,1358.962,G5
115.7832,812.5808,7150.905,5062.417,2894.49,2784.199,H5
141.3017,2002.833,2637.833,1269.594,4032.17,3395.568,H6
426.0229,1255.57,3138.514,2515.289,4471.081,3871.878,G6
171.4517,926.3637,2637.333,770.3747,4524.085,3069.997,F6
123.343,1125.632,1766.635,1435.755,2977.58,2661.226,E6
193.1383,1726.007,4326.18,3236.929,5039.322,3567.645,D6
213.7643,2255.808,2357.049,1103.196,3784.943,1450.599,C6
207.0673,444.5988,4448.781,2774.903,3282.253,3087.072,B6
104.3805,863.5374,2132.308,972.079,2389.186,2654.817,A6
112.3127,2562.928,1306.892,1284.396,2925.622,1203.047,A7
53.50461,1755.382,2546.699,1325.435,3886.284,2426.915,B7
257.8962,437.8336,4455.629,1625.175,3044.849,3216.027,C7
437.7879,1559.937,3075.965,2586.09,6130.984,3477.121,D7
92.64011,1657.536,4507.448,2621.298,4827.158,4345.02,E7
216.9438,641.9606,2486.946,1634.669,3565.177,2220.483,F7
224.1866,521.3878,2748.965,1751.784,3183.076,3330.89,G7
179.4162,3675.285,5631.181,1655.409,1042.969,3583.783,H7
