TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD38: FITC-A-Compensated,CD20: PE-A-Compensated,CD10: PE-TR-A-Compensated,CD19: APC-A-Compensated,CD34: AF 700-A-Compensated,CD45: APC-Cy7-A-Compensated,Cell_location
694.3088,186068.9,145140.8,223,75405.78,60653.6,223,21.34785,6879.711,10274.03,2878.005,805.9506,4785.776,A1
695.7583,214401,176689,226,61673.86,47159.84,226,76.61364,141.1748,8296.027,2971.697,1749.263,3346.925,B1
696.9715,199086.6,163903,223,68750.16,54896.8,223,290.942,229.4994,14544.93,1432.779,3950.972,1057.282,C1
705.0356,234038.5,197304.8,228,83860.17,63846.72,228,190.0469,-3.254186,5911.697,1996.04,2212.348,1791.065,D1
708.1315,248242.4,207705.1,231,64975.26,48530.72,231,210.2425,9394.706,4188.409,1502.923,2419.991,3622.111,E1
710.7308,167660.7,130905.6,217,93165.2,75116.16,217,84.62057,7599.528,7061.784,4503.286,4404.723,4203.426,F1
712.8286,181456.8,138545.1,222,72071.59,49738.08,222,67.68061,4673.363,13981,1453.326,2805.138,3927.03,G1
722.9523,222313.8,171759.8,234,61640.43,43953.28,234,172.1922,128.8723,13361.94,1177.99,1042.18,1204.64,H1
727.1515,211216.3,171170.7,226,72061.59,58471.84,226,146.8964,374.8471,5412.818,3100.158,2794.923,-89.75967,H2
728.6321,188781.2,152589.9,221,99409.64,80942.4,221,64.20687,4707.734,11933.9,4584.636,1576.873,4950.523,G2
730.7857,190095.5,150048.6,222,68574.73,48740.16,222,173.6379,1116.446,9361.298,1744.271,1521.813,5473.326,F2
732.1274,231006,182562.2,232,75400,59246.88,232,75.91582,4224.745,12385.37,4025.979,6772.236,1255.77,E2
735.1541,319740.9,252574.6,248,97616.12,69238.4,248,227.6707,6863.619,15112.11,2702.266,8094.974,1796.139,D2
736.5052,229329.8,184914.2,232,77780.35,58632,232,148.5914,-95.80002,10927.8,2051.493,1807.681,2517.32,C2
738.5519,222134.2,206001.6,217,76509.03,54931.52,217,160.3513,84.84023,5942.222,1856.589,3014.078,1651.945,B2
742.0897,175758.8,135562.6,219,66696.65,50560.16,219,38.90419,197.8635,9315.109,2673.509,1882.182,2584.168,A2
743.8113,236861.2,213281.6,223,91747.91,76690.88,223,46.32395,5172.787,4689.363,1585.496,2783.662,1758.812,A3
