TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD38: FITC-A-Compensated,CD20: PE-A-Compensated,CD10: PE-TR-A-Compensated,CD19: APC-A-Compensated,CD34: AF 700-A-Compensated,CD45: APC-Cy7-A-Compensated,Index
9.78168,199369.8,176793.1,216,64791.79,47174.4,216,446.4984,423.1522,267.9872,382.0303,34.09833,610.3225,A2
17.64051,238434,190873.8,234,113953.8,90305.6,234,2575.932,97388.65,4652.725,5534.994,-28.04074,535.6561,B2
20.21082,429491.6,342750.3,259,118999.7,91474.88,259,8231.898,18.71345,-28.49292,281.3259,1892.838,3942.063,C2
29.54783,185960.2,149755.2,221,84475.48,71599.36,221,113.9284,11862.28,86.87462,928.6154,89.65874,4827.477,D2
39.41416,230858.5,195558.7,229,64513.54,53018.56,229,2020.193,73572.31,2938.18,2545.966,26.38157,1623.804,E2
50.30019,381981,343730.3,241,84926.81,59357.76,241,-11.22079,122.2254,-37.17661,82.14248,-12.98759,358.623,F2
52.50425,290223,215171,249,127210.1,92545.6,249,770.9389,31068.39,8099.715,1708.033,390.7624,2321.978,G2
56.02074,325124.1,273073.9,242,102741.5,79190.72,242,3637.83,55.58704,97.99326,28.39737,76.70473,1080.83,H2
68.36843,299379.6,260349.6,237,86065.52,72886.24,237,3119.516,47937.38,1292.134,2598.616,-241.1132,1725.264,H3
72.00027,183093.2,138054.6,224,65910.36,53485.6,224,-3.944867,-6.748517,33.36035,27.06667,-18.89869,74.18708,G3
83.15727,199711.5,160805.1,224,96056.42,73725.12,224,77.59973,62298.77,48.3666,3406.683,142.2394,946.6064,F3
86.18048,340521.9,269619.8,250,96378.78,74439.68,250,1616.239,69590.55,7219.299,3432.674,226.4157,2826.235,E3
89.72081,263858.6,214427.4,238,89927.89,76014.4,238,1719.72,65095.64,13740.26,4235.083,-297.1476,2477.685,D3
91.20506,354327.2,284941.4,253,99614.45,80730.72,253,405.824,106392.7,2126.33,6824.911,49.22309,1886.822,C3
99.73641,393929.3,345773.1,247,73427.51,56397.6,247,873.5086,218.3234,100.2038,99.66272,21.51302,656.6606,B3
103.45711,290810.8,262512.3,232,76693.09,65228.8,232,568.0057,133.7555,-96.75674,125.5038,14.57978,4448.845,A3
116.71847,191400.8,181088.3,210,46504.21,40592.16,210,47.15728,28.93229,100.255,56.99791,3.583879,127.7454,A4
130.79623,280062.2,218458.2,245,108280.6,87212.16,245,5278.026,122.6961,94.19276,98.55161,735.4225,2497.621,B4
138.86258,191938.7,167428.8,216,36172.51,28902.72,216,1911.478,-13.32195,50.90186,77.70108,2.081104,1021.582,C4
161.60612,210608.5,174656.2,225,65598.72,54809.44,225,213.49,55513.12,1448.775,3694.654,836.1736,890.8804,D4
172.17207,218480,154722.4,239,86302.27,63875.84,239,733.8139,104342.2,4482.962,5571.056,633.6669,1657.649,E4
207.84073,429616.5,325927.8,268,123836.4,91571.2,268,5787.942,-48.25634,-6.289741,914.6057,5071.268,4102.659,F4
221.13110,194162.1,164105.8,219,77737.77,64723.68,219,6793.76,9715.004,2475.479,3482.178,-29.19336,2437.754,G4
234.45023,436435.3,343383,262,131707.2,106273.4,262,1500.637,44.91565,154.021,1004.758,6232.461,3358.311,H4
276.68057,245189,194645.9,236,109916.1,88982.88,236,1101.343,59095.41,6794.104,2255.472,242.3995,3117.044,H5
328.30261,300484.3,239255.5,245,85650.14,68197.92,245,5242.042,71035.41,1612.253,5539.803,67.88049,1352.311,G5
345.14410,266754.9,209991,245,84778.16,60204.48,245,7735.722,48276.05,8891.563,4391.586,76.32706,4028.285,F5
361.99301,351226.8,275471.8,254,115020.4,89579.84,254,1266.679,124502.8,5402.817,8259.891,307.7453,1516.254,E5
384.79910,311720.3,265807.4,239,80936.17,67783.52,239,1447.798,77592.32,3064.648,2949.944,-63.22692,2232.832,D5
430.81644,294654.8,241626.6,243,101117.7,70263.2,243,1554.996,59368.16,2526.936,5646.765,21.52446,446.4401,C5
436.49200,270092.5,226021.6,236,86848.48,70945.28,236,4166.447,96639.8,2057.537,3821.52,19.83719,940.3342,B5
439.07205,270286.3,209916,243,116920,90998.88,243,3895.65,209.9059,603.5867,596.9936,1920.965,1862.116,A5
497.34628,301641,228909,252,98217.03,71025.92,252,1692.385,86195.99,7840.996,4780.692,-70.69701,3376.62,A6
500.65863,300373.5,242426.2,245,79170.5,61029.92,245,2329.089,76602.8,5087.467,4031.043,-6.621626,1719.36,B6
529.30835,282944.3,207365.8,250,100237.8,75464.48,250,3078.595,97087.49,5979.762,5439.045,-57.79952,3361.784,C6
548.05731,286605.9,251544.2,234,87505.02,74032,234,7229.775,69649.5,1966.586,4196.823,356.7494,24.43106,D6
555.91052,229710.8,182090.7,233,84107.84,68212.48,233,38.02932,84608.02,478.8328,3684.859,-87.46468,927.109,E6
612.92993,231671.8,185327.5,233,68250.26,49047.04,233,469.7596,103613.3,2249.114,3359.151,83.94344,-26.30878,F6
622.03387,248440.9,205061.9,234,85649.33,69275.36,234,1322.581,68745.4,3234.641,2987.858,510.0806,111.0634,G6
640.09833,339393.9,282151.5,246,88392.2,68286.4,246,1836.391,105758.3,1806.276,6836.95,196.7877,1610.21,H6
701.07043,210128.1,157052,234,96968.92,69905.92,234,2275.216,68137.49,1998.931,2457.64,142.9429,1360.73,H7
724.61273,191987.4,170427,215,60545.63,55489.28,215,22662.56,255.353,-138.7683,716.9374,31.64395,1070.974,G7
746.32196,326363.4,283632.2,239,78304.38,64069.6,239,2003.174,69656.59,2780.299,1797.953,-23.37517,1653.946,F7
757.14850,270045.3,226092.2,236,81850.11,66889.76,236,2664.188,32318.07,4488.141,1855.108,317.3844,1187.848,E7
779.75684,293048.8,244325.8,241,85411.14,70184.8,241,326.4227,221768.8,297.7327,8292.991,198.657,1450.132,D7
802.20648,270468.4,231702.2,234,78339.43,64445.92,234,379.5274,127357.7,1427.978,4021.177,41.1482,2381.777,C7
834.68915,274123.6,226240,238,75902.04,59991.68,238,503.4202,109185.8,1277.287,4091.076,137.1399,1191.01,B7
866.29193,237517.5,184219.8,238,82880.73,67172,238,5106.076,27542.78,5297.715,3220.505,164.7222,2170.461,A7
902.78021,334769.3,291396,240,109946.5,91546.56,240,2615.694,160589.7,-14.42253,5608.317,1095.426,1594.573,A8
907.91528,325523.8,283376.8,240,83964.09,67664.8,240,1424.156,78038.43,2265.641,3401.385,-12.04074,1777.799,B8
910.83618,283759.5,236541.8,239,83799.34,61614.56,239,3757.682,146768.3,2756.274,5055.919,345.8841,1811.088,C8
920.99701,270513.4,218344,240,90606.36,66661.28,240,-10.81661,24186.54,308.9276,2442.309,146.8299,3686.183,D8
932.92877,314849.6,258090.6,245,125149.9,103211.4,245,2564.965,157364.6,2282.156,6927.466,786.5192,1891.548,E8
948.47144,398811.5,299493.6,265,119270.6,88139.52,265,217.42,112102.8,3968.479,6429.104,224.3091,1429.844,F8
953.41425,292172.9,231401,244,107487.7,87542.56,244,1559.245,62598.89,2103.465,1869.526,-8.487774,3930.073,G8
965.82288,294782.4,240032.8,242,97086.91,73524.64,242,626.0344,102799.1,2385.528,3145.004,121.735,3640.526,H8
988.10938,265148.6,227125.9,233,86110.68,68308.8,233,58.02038,117744.2,1063.643,2958.301,-544.4171,3107.844,H9
1005.15100,355783.6,254784.3,264,145597.4,107369.9,264,5778.911,141.8181,-10.24398,892.5634,6671.085,702.5989,G9
1023.22296,345190.5,295335,244,79788.88,66278.24,244,582.0084,78177.69,1510.569,2994.417,181.4404,668.1371,F9
1080.82043,273100.9,213864,247,130986.8,101805.8,247,678.4285,96623.88,6567.902,5313.5,-147.9117,2919.051,E9
1118.93115,278672.7,219170.6,243,87780.8,69211.52,243,1268.482,58696.72,4980.019,2003.988,-249.4026,3966.268,D9
1140.36804,260829.4,217595.8,234,74117.4,59199.84,234,542.2102,54719.28,1839.874,2027.667,-47.79148,259.1172,C9
1147.29126,218401.1,168758.2,231,106413.3,64097.6,231,109.6134,147.0007,1412.615,547.5629,119.7948,506.852,B9
1153.11865,261286.9,226728.3,232,93424.53,78682.24,232,2050.045,46046,9339.658,4131.82,100.3183,1805.046,A9
1195.73767,378015.8,300804,257,136412.2,103799.4,257,803.3043,84.06435,958.671,902.0863,7101.661,3814.523,A10
1230.77173,284284.2,242240.3,236,97809.95,77061.6,236,1173.446,177187.8,3411.56,9000.341,108.2367,1233.849,B10
1334.16699,271050,224539.8,237,89532.13,73171.84,237,1884.194,131653.8,-1656.092,5379.647,642.6646,1461.179,C10
1387.09766,283989.7,244709.9,235,88320.41,74851.84,235,4593.372,42020.19,5595.99,1905.406,246.9583,2227.68,D10
1410.20337,224660.6,175255.4,233,109394.9,87815.84,233,731.2596,115938.9,1999.56,3109.216,298.773,3309.141,E10
1426.51624,274332.6,217489.4,242,87346.16,69518.4,242,936.604,29673.78,11773.84,2556.938,372.6557,1976.11,F10
1435.77222,214076.9,189517.4,221,48287.1,38409.28,221,1282.684,18694.59,1322.746,571.47,-30.97107,1164.451,G10
1451.18738,311033.7,231784,257,96092.16,69538.56,257,112.6822,125870.2,613.8777,5001.881,319.9468,1297.896,H10
1478.53516,312838.3,267633,240,94516.2,76011.04,240,469.9166,96584.34,2043.045,1906.405,568.3018,148.5925,H11
1515.96570,286647.8,253649.8,234,57534.42,48157.76,234,3009.306,57519.93,2895.349,3216.816,324.4608,1793.413,G11
1518.27515,248113.1,209829.8,231,76381.07,62864.48,231,3236.991,80494.36,3658.444,4809.581,90.75655,2362.433,F11
1526.48987,316903.5,237339.2,253,108799.5,81062.24,253,5554.825,67691.51,23221.34,4342.9,548.0314,2352.583,E11
1531.92957,251212.1,184974.7,244,107156.2,80623.2,244,1810.976,67413.29,7307.287,3013.83,259.2852,665.7471,D11
1564.01001,278930.3,223462.4,242,109268.5,85403.36,242,530.7098,193738.9,-574.8527,8332.728,292.6793,3400.047,C11
1575.24500,293156.9,254344.2,236,79809.77,66391.36,236,1963.926,32472.49,1259.75,1573.225,173.3616,980.7993,B11
1621.61230,261383.2,182697.8,250,116376.3,84684.32,250,3130.978,82379.75,8346.434,4519.777,422.149,2262.317,A11
1630.49927,266319.8,228872,232,62312.88,48796.16,232,1900.803,70712.35,3112.054,2709.077,-25.02986,1867.261,A12
1657.63782,274570.9,230453.4,238,92483.54,75201.28,238,646.8982,96486.34,1256.121,2989.379,246.1719,1491.685,B12
1659.17114,422730.8,303498.7,269,136762.7,101509,269,4455.959,183.0631,-172.0388,850.6245,5628.998,3158.225,C12
1680.47778,227720.2,197727,224,57088.51,43818.88,224,688.8179,135014.6,976.9491,4960.542,204.148,547.9465,D12
1682.40576,362687.3,244717.8,270,150077.8,111846.6,270,7049.65,113.8434,-61.76141,485.2053,4329.491,1391.596,E12
1711.62720,306622.3,250535,244,81258.67,65990.4,244,2911.774,37047.88,5534.622,2069.401,-60.44247,3390.504,F12
1725.67554,300703.4,244820.8,244,117015.5,91920.64,244,3110.722,55058.21,5158.855,3173.51,-74.27745,638.9604,G12
1758.83008,322839.5,262156.2,247,113070.6,94245.76,247,733.9364,50654.02,2440.441,1661.786,70.52335,3695.366,H12
